,Account ID,Account,Account Description,Account Level 1,Account Level 2,Account Level 3,Account Level 4,Product External ID,Product,Department External ID,Department Description,Operating Unit External ID,Operating Unit,Customer Class External ID,Customer Class,Affiliate External ID,Affiliate,Business Unit External ID,Currency,Amount (Debit),Amount (Credit),Balance,Amount (Debit) (Foreign Currency),Amount (Credit) (Foreign Currency),Amount (FC),Control Account,Consol IFRS Code,WKFS BS Product Code,WKFS PL Product Class,WKFS LKP PL Product,WKFS LKPHK Product,WKFS IFRS9 Type,WKFS Trade Indicator
559,2020120,2020120 Customer accounts : Interest bearing deposit accounts : CUSTOMER DEPOSITS,CUSTOMER DEPOSITS,Balance Sheet,2000000 Total liabilities,2020000 Customer accounts,2020100 Interest bearing deposit accounts,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,EUR,154227.96,158417.88,-4189.92,0.0,0.0,0.0,False,2V,200503.0,0.0,0.0,0.0,4.0,True
564,2020120,2020120 Customer accounts : Interest bearing deposit accounts : CUSTOMER DEPOSITS,CUSTOMER DEPOSITS,Balance Sheet,2000000 Total liabilities,2020000 Customer accounts,2020100 Interest bearing deposit accounts,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,GBP,1094970.52,1176216.2,-81245.68,0.0,0.0,0.0,False,2V,200503.0,0.0,0.0,0.0,4.0,True
585,2020210,2020210 FPS DW ACCOUNT-C.BANK,FPS DW ACCOUNT-CENTRAL BANK,Balance Sheet,2000000 Total liabilities,2020000 Customer accounts,2020200 Customer liability - Repo agreement,24101.0,20000 Treasury Markets : 24000 Repo : 24100 Repo : 24101 Repo - FPS,1398,Project Dragon - Treasury,103,103 Alfresco,,,,,460,HKD,2350000000.0,2350000000.0,0.0,2350000000.0,2350000000.0,0.0,False,2U,400902.0,0.0,0.0,0.0,4.0,True
632,2040110,2040110 Due to intragroup : Due to head office and subsidiaries : INTERCO ACCR PAYABLE SUBS,INTERCO ACCR PAYABLE SUBS,Balance Sheet,2000000 Total liabilities,2040000 Due to intragroup,2040200 Due to head office and subsidiaries - Share Option Accruals,,,1937,Project Dragon - Legal,105,105 Manual Adjustments,,,160.0,160 SCB AUSTRALIA BRANCH,460,USD,0.0,534585.42,-534585.42,0.0,68478.07,-68478.07,False,2K,150500.0,0.0,0.0,0.0,4.0,False
647,2060230,2060230 Financial liabilities : Other financial liabilities : UNCLAIMED BAL CRD,UNCLAIMED BALANCE CARD,Balance Sheet,2000000 Total liabilities,2060000 Financial liabilities,2060200 Other financial liabilities,,,1063,Project Dragon - Operations,105,105 Manual Adjustments,,,,,460,HKD,0.0,17487.0,-17487.0,0.0,17487.0,-17487.0,False,2Z,149997.0,0.0,0.0,0.0,4.0,False
718,2100120,2100120 Provisions for liabilities and charges : Other provisions : ECL S1 PROV-LOAN COMM,ECL S1 PROVISION-LOAN COMMITMENTS,Balance Sheet,2000000 Total liabilities,2100000 Provisions for liabilities and charges,2100100 ECL Provision on retail credit commitment,11101.0,10000 Retail Products : 11000 Unsecured Lending : 11100 Credit Cards : 11101 Credit Cards,1393,Project Dragon - Product,105,105 Manual Adjustments,,,,,460,HKD,0.0,9457654.22,-9457654.22,0.0,9457654.22,-9457654.22,False,2Y,150500.0,0.0,0.0,0.0,4.0,False
719,2100120,2100120 Provisions for liabilities and charges : Other provisions : ECL S1 PROV-LOAN COMM,ECL S1 PROVISION-LOAN COMMITMENTS,Balance Sheet,2000000 Total liabilities,2100000 Provisions for liabilities and charges,2100100 ECL Provision on retail credit commitment,11101.0,10000 Retail Products : 11000 Unsecured Lending : 11100 Credit Cards : 11101 Credit Cards,1393,Project Dragon - Product,301,301 RR Adjustment,,,,,460,HKD,743856.82,0.0,743856.82,743856.82,0.0,743856.82,False,2Y,150500.0,0.0,0.0,0.0,4.0,False
720,2100121,2100121 Provisions for liabilities and charges : Other provisions : ECL S2 PROV-LOAN COMM,ECL S2 PROVISION-LOAN COMMITMENTS,Balance Sheet,2000000 Total liabilities,2100000 Provisions for liabilities and charges,2100100 ECL Provision on retail credit commitment,11101.0,10000 Retail Products : 11000 Unsecured Lending : 11100 Credit Cards : 11101 Credit Cards,1393,Project Dragon - Product,301,301 RR Adjustment,,,,,460,HKD,658176.43,0.0,658176.43,658176.43,0.0,658176.43,False,2Y,150500.0,0.0,0.0,0.0,4.0,False
723,2100121,2100121 Provisions for liabilities and charges : Other provisions : ECL S2 PROV-LOAN COMM,ECL S2 PROVISION-LOAN COMMITMENTS,Balance Sheet,2000000 Total liabilities,2100000 Provisions for liabilities and charges,2100100 ECL Provision on retail credit commitment,11101.0,10000 Retail Products : 11000 Unsecured Lending : 11100 Credit Cards : 11101 Credit Cards,1393,Project Dragon - Product,105,105 Manual Adjustments,,,,,460,HKD,2711523.43,658176.43,2053347.0,2711523.43,658176.43,2053347.0,False,2Y,150500.0,0.0,0.0,0.0,4.0,False
840,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,HKD,167.15,62952.28,-62785.13,167.15,62952.28,-62785.13,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
845,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,EUR,2571.03,0.0,2571.03,304.01,0.0,304.01,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
849,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,NZD,0.0,9.5,-9.5,0.0,1.91,-1.91,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
850,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,EUR,0.0,30.79,-30.79,0.0,3.66,-3.66,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
851,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,AUD,7155.58,0.0,7155.58,1318.36,0.0,1318.36,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
852,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,238.0,238 SCB HONG KONG LIMITED,460,HKD,31041.0,0.0,31041.0,31041.0,0.0,31041.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
856,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,,,1937,Project Dragon - Legal,198,198 PL Sweeping,,,160.0,160 SCB AUSTRALIA BRANCH,460,USD,0.0,116990.18,-116990.18,0.0,14921.36,-14921.36,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
857,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,,,1937,Project Dragon - Legal,198,198 PL Sweeping,,,160.0,160 SCB AUSTRALIA BRANCH,460,HKD,116990.18,0.0,116990.18,116990.18,0.0,116990.18,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
859,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,USD,0.0,67.8,-67.8,0.0,8.65,-8.65,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
860,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,AUD,0.0,21.38,-21.38,0.0,3.95,-3.95,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
866,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,,,1939,Project Dragon - CEO / Head office,198,198 PL Sweeping,,,238.0,238 SCB HONG KONG LIMITED,460,USD,2986823.8,0.0,2986823.8,380952.38,0.0,380952.38,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
869,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,JPY,37993.87,0.0,37993.87,633428.0,0.0,633428.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
870,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,SGD,0.0,3.66,-3.66,0.0,0.61,-0.61,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
875,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,USD,1938.68,167.15,1771.53,247.43,21.3,226.13,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
876,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,HKD,1158.23,0.0,1158.23,1158.23,0.0,1158.23,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
877,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,JPY,0.0,834.53,-834.53,0.0,14013.0,-14013.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
884,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,CAD,0.0,10.64,-10.64,0.0,1.83,-1.83,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
885,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,CAD,2090.06,0.0,2090.06,358.31,0.0,358.31,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
886,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,GBP,9991.51,0.0,9991.51,1048.15,0.0,1048.15,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
890,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,GBP,0.0,179.93,-179.93,0.0,18.9,-18.9,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
894,4040220,4040220 Investment income : Exchange Revaluation : FCY P/L-OFFSET,FCY P/L-OFFSET,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,,,1939,Project Dragon - CEO / Head office,198,198 PL Sweeping,,,238.0,238 SCB HONG KONG LIMITED,460,HKD,0.0,2986823.8,-2986823.8,0.0,2986823.8,-2986823.8,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
896,4040221,4040221 Investment income : Exchange Revaluation : EX REVAL.GN / LS,EXCHANGE REVAL.GAIN / LOSS,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,238.0,238 SCB HONG KONG LIMITED,460,USD,2340.3,2039.25,301.05,0.0,0.0,0.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
897,4040221,4040221 Investment income : Exchange Revaluation : EX REVAL.GN / LS,EXCHANGE REVAL.GAIN / LOSS,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,EUR,18.04,113.65,-95.61,0.0,0.0,0.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
901,4040221,4040221 Investment income : Exchange Revaluation : EX REVAL.GN / LS,EXCHANGE REVAL.GAIN / LOSS,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,SGD,11276.5,10657.23,619.27,0.0,0.0,0.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
904,4040221,4040221 Investment income : Exchange Revaluation : EX REVAL.GN / LS,EXCHANGE REVAL.GAIN / LOSS,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,JPY,6122404.36,7444434.87,-1322030.51,0.0,0.0,0.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
905,4040221,4040221 Investment income : Exchange Revaluation : EX REVAL.GN / LS,EXCHANGE REVAL.GAIN / LOSS,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,JPY,8.76,5507.76,-5499.0,0.0,0.0,0.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
906,4040221,4040221 Investment income : Exchange Revaluation : EX REVAL.GN / LS,EXCHANGE REVAL.GAIN / LOSS,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,EUR,158418.56,154228.65,4189.91,0.0,0.0,0.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
907,4040221,4040221 Investment income : Exchange Revaluation : EX REVAL.GN / LS,EXCHANGE REVAL.GAIN / LOSS,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,GBP,8.58,1024.48,-1015.9,0.0,0.0,0.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
908,4040221,4040221 Investment income : Exchange Revaluation : EX REVAL.GN / LS,EXCHANGE REVAL.GAIN / LOSS,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,238.0,238 SCB HONG KONG LIMITED,460,SGD,556.09,547.96,8.13,0.0,0.0,0.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
914,4040221,4040221 Investment income : Exchange Revaluation : EX REVAL.GN / LS,EXCHANGE REVAL.GAIN / LOSS,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,USD,49257.58,21151.21,28106.37,0.0,0.0,0.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
916,4040221,4040221 Investment income : Exchange Revaluation : EX REVAL.GN / LS,EXCHANGE REVAL.GAIN / LOSS,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,238.0,238 SCB HONG KONG LIMITED,460,EUR,2343.28,2428.35,-85.07,0.0,0.0,0.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
929,4040221,4040221 Investment income : Exchange Revaluation : EX REVAL.GN / LS,EXCHANGE REVAL.GAIN / LOSS,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,GBP,1176220.81,1094974.89,81245.92,0.0,0.0,0.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
930,4040221,4040221 Investment income : Exchange Revaluation : EX REVAL.GN / LS,EXCHANGE REVAL.GAIN / LOSS,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,AUD,1.32,219.29,-217.97,0.0,0.0,0.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
939,4040221,4040221 Investment income : Exchange Revaluation : EX REVAL.GN / LS,EXCHANGE REVAL.GAIN / LOSS,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,238.0,238 SCB HONG KONG LIMITED,460,JPY,39486.06,41242.79,-1756.73,0.0,0.0,0.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
940,4040221,4040221 Investment income : Exchange Revaluation : EX REVAL.GN / LS,EXCHANGE REVAL.GAIN / LOSS,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,238.0,238 SCB HONG KONG LIMITED,460,AUD,5526.47,5373.24,153.23,0.0,0.0,0.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
960,4040221,4040221 Investment income : Exchange Revaluation : EX REVAL.GN / LS,EXCHANGE REVAL.GAIN / LOSS,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,USD,0.06,1598.73,-1598.67,0.0,0.0,0.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
961,4040221,4040221 Investment income : Exchange Revaluation : EX REVAL.GN / LS,EXCHANGE REVAL.GAIN / LOSS,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,AUD,208771.09,202309.99,6461.1,0.0,0.0,0.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
962,4040221,4040221 Investment income : Exchange Revaluation : EX REVAL.GN / LS,EXCHANGE REVAL.GAIN / LOSS,Profit/(loss) for the year,4000000 Operating Income,4040000 Investment income,4040200 Exchange Revaluation,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,238.0,238 SCB HONG KONG LIMITED,460,GBP,11622.62,11159.31,463.31,0.0,0.0,0.0,False,3G,0.0,180307.0,54400.0,52900.0,0.0,False
986,5010135,5010135 General administrative expenses : Advertising and publicity : ACQUISITION PREMIUM-OTHERS,ACQUISITION PREMIUM-OTHERS,Profit/(loss) for the year,5000000 Operating Expenses,5010000 General administrative expenses,5010100 Advertising and publicity,11101.0,10000 Retail Products : 11000 Unsecured Lending : 11100 Credit Cards : 11101 Credit Cards,1391,Project Dragon - Customer,105,105 Manual Adjustments,,,,,460,HKD,1404976.0,5977500.0,-4572524.0,1404976.0,5977500.0,-4572524.0,False,3L,0.0,180404.0,58900.0,52930.0,0.0,False
997,5010144,5010144 General administrative expenses : Advertising and publicity : CAPITALISATION CREDIT-CUST  RWARDS,CAPITALISATION CREDIT-CUSTOMER  REWARDS,Profit/(loss) for the year,5000000 Operating Expenses,5010000 General administrative expenses,5010100 Advertising and publicity,,,1391,Project Dragon - Customer,108,108 Capital Expenditure,,,,,460,HKD,0.0,4698950.0,-4698950.0,0.0,4698950.0,-4698950.0,False,3L,0.0,180404.0,58900.0,52930.0,0.0,False
1070,5011559,5011559 General administrative expenses : Other costs : INTER-U RECHARGE/RECOVERY,INTER-UNIT RECHARGE/RECOVERY,Profit/(loss) for the year,5000000 Operating Expenses,5010000 General administrative expenses,5011500 Other costs,,,1937,Project Dragon - Legal,105,105 Manual Adjustments,,,160.0,160 SCB AUSTRALIA BRANCH,460,USD,116952.87,0.0,116952.87,14921.36,0.0,14921.36,False,3L,0.0,180499.0,58900.0,52990.0,0.0,False
1077,5011563,5011563 General administrative expenses : Other costs : CAPITALISATION CREDIT-CARD PRODN,CAPITALISATION CREDIT-CARD PRODUCTION,Profit/(loss) for the year,5000000 Operating Expenses,5010000 General administrative expenses,5011500 Other costs,,,1391,Project Dragon - Customer,108,108 Capital Expenditure,,,,,460,HKD,0.0,454775.39,-454775.39,0.0,454775.39,-454775.39,False,3L,0.0,180499.0,58900.0,52990.0,0.0,False
1078,5011564,5011564 AMORT-CUSTOMER CONTRACT COSTS,AMORT-CUSTOMER CONTRACT COSTS,Profit/(loss) for the year,5000000 Operating Expenses,5010000 General administrative expenses,5011500 Other costs,,,1391,Project Dragon - Customer,108,108 Capital Expenditure,,,,,460,HKD,174866.73,0.0,174866.73,174866.73,0.0,174866.73,False,3L,,180407.0,58900.0,52990.0,,False
1083,5011720,5011720 General administrative expenses : Professional fee : AUDIT FEES-BIG 4,PROFESSIONAL FEE-AUDIT (BIG4),Profit/(loss) for the year,5000000 Operating Expenses,5010000 General administrative expenses,5011700 Professional fee,,,1392,Project Dragon - Finance,105,105 Manual Adjustments,,,,,460,HKD,383334.0,800000.0,-416666.0,383334.0,800000.0,-416666.0,False,3L,0.0,180405.0,58900.0,52990.0,0.0,False
1298,6010306,6010306 ECL-STG1-LOAN TO CUST,ECL-STAGE 1-LOAN TO CUSTOMER,Profit/(loss) for the year,6000000 Credit impairment losses on loans and advances and other credit risk provisions,6010000 ECL Stage 1 to 3,6010200 Expected credit losses-Loans to customer,11101.0,10000 Retail Products : 11000 Unsecured Lending : 11100 Credit Cards : 11101 Credit Cards,1393,Project Dragon - Product,105,105 Manual Adjustments,,,,,460,HKD,1006634.43,0.0,1006634.43,1006634.43,0.0,1006634.43,False,3A,0.0,180801.0,57100.0,57120.0,0.0,False
1299,6010307,6010307 ECL-STG2-LOAN TO CUST,ECL-STAGE 2-LOAN TO CUSTOMER,Profit/(loss) for the year,6000000 Credit impairment losses on loans and advances and other credit risk provisions,6010000 ECL Stage 1 to 3,6010200 Expected credit losses-Loans to customer,11101.0,10000 Retail Products : 11000 Unsecured Lending : 11100 Credit Cards : 11101 Credit Cards,1393,Project Dragon - Product,105,105 Manual Adjustments,,,,,460,HKD,3595529.38,0.0,3595529.38,3595529.38,0.0,3595529.38,False,3A,,180801.0,57100.0,57120.0,,False
1302,6010308,6010308 ECL-STG3-LOAN TO CUST,ECL-STAGE 3-LOAN TO CUSTOMER,Profit/(loss) for the year,6000000 Credit impairment losses on loans and advances and other credit risk provisions,6010000 ECL Stage 1 to 3,6010200 Expected credit losses-Loans to customer,11101.0,10000 Retail Products : 11000 Unsecured Lending : 11100 Credit Cards : 11101 Credit Cards,1393,Project Dragon - Product,105,105 Manual Adjustments,,,,,460,HKD,293762.87,0.0,293762.87,293762.87,0.0,293762.87,False,3A,0.0,180801.0,57100.0,57120.0,0.0,False
